,type,epoch,top1,top5,loss,time,trainable_params,round,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
8,train,4,0.97078,0.99986,0.00044925337374210355,13.3,2104832,9,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
9,test,4,0.5035,0.9181,0.010461967134475707,,2104832,9,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
0,train,0,0.9649,0.99982,0.0005168589893728494,13.0,2104832,10,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
1,test,0,0.5026,0.9172,0.010651378583908081,,2104832,10,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
2,train,1,0.95872,0.99942,0.0005508698229491711,13.1,2104832,10,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
3,test,1,0.511,0.9182,0.010772919940948486,,2104832,10,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
4,train,2,0.97078,0.9999,0.0004344783765822649,13.2,2104832,10,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
5,test,2,0.5117,0.9197,0.010623656606674194,,2104832,10,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
6,train,3,0.95828,0.99982,0.0005580397827923297,13.2,2104832,10,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
7,test,3,0.4981,0.9202,0.011043046712875365,,2104832,10,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
8,train,4,0.9692,0.99974,0.00044020101845264434,13.3,2104832,10,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
9,test,4,0.5063,0.9174,0.010977643585205078,,2104832,10,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
0,train,0,0.9818,0.99992,0.0003250722128897905,13.5,2104832,11,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
1,test,0,0.509,0.9219,0.01077385902404785,,2104832,11,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
2,train,1,0.96592,0.9998,0.0004752052267640829,13.2,2104832,11,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
3,test,1,0.5088,0.9183,0.011230159521102906,,2104832,11,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
