,type,epoch,top1,top5,loss,time,layer,round,grad_norm,network_norm,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.9977833333333334,1.0,5.277182674811532e-05,6.8,1,4,94.11937152525789,42.71527535965031,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9737,0.9989,0.00036482211332768203,,1,4,94.11937152525789,42.71527535965031,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.99785,1.0,5.170111523475498e-05,7.1,1,4,94.11937152525789,42.71527535965031,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9734,0.9994,0.0003740306355059147,,1,4,94.11937152525789,42.71527535965031,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.99805,1.0,5.3651549674881e-05,6.6,1,4,94.11937152525789,42.71527535965031,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9742,0.9991,0.0003744094751775265,,1,4,94.11937152525789,42.71527535965031,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9978666666666667,1.0,5.3607067558914426e-05,7.2,2,4,37.15166304422163,42.42293554754273,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9734,0.9994,0.0003744253676384687,,2,4,37.15166304422163,42.42293554754273,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9977666666666667,1.0,5.4241055777917303e-05,6.7,2,4,37.15166304422163,42.42293554754273,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9741,0.9991,0.0003646729672327638,,2,4,37.15166304422163,42.42293554754273,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.998,1.0,5.3885183312619726e-05,6.7,2,4,37.15166304422163,42.42293554754273,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9731,0.9991,0.00036946898605674507,,2,4,37.15166304422163,42.42293554754273,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
